Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,27.01135063,,,,,,,,,,35.90000153,29.8203392,,38.99597931,,,,,,,,,,51.7711792,,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,59.66075134,59.96479034,60.06882095,60.28065872,60.96670151,61.35140991,61.72526932,62.30318069,62.88290024,63.28271866,61.37215042,61.90584183,62.32461166,62.23450089,63.75490189,63.21973038,64.30828094,61.77381134,61.65021896,61.30495071,61.58929825,61.49845123,63.06097031,63.47185135,64.25849152,63.29774857,65.07672882,65.81365967,64.17391968,65.13777161,65.08299255,
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,72.2336731,,,,,,,,,,,,,,,,,,,82.28379822,,,,,,84.66716003,,,85.45999908
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,99.65235138,,,,,,,,,,,,99.58618927,,,99.36425781,,99.55844116,,
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,57.89746857,,,,,,,,,,71.49707031,,,,,,,,79.03964233,,80.37999725,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,20.55374908,,,,,,,29.70401955,,,,,,,25.30773926,,,,32.0038414,,,,39.6176796,,,45.33000183
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,36.81772995,,,,,,,,,,,,,41.95005035,,50.77796936,,,,,,58.06000137
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,41.35776901,,,,,,,,,,,,,,45.5811615,,,,,,,52.88999939
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,88.3082962,,,,,,,,,,94.3705368,,,,,,,,,,,
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,92.61045074,,,,,,,,,,95.99436188,,,,93.04431152,,93.93154907,,93.90511322,,97.36873627,,,,,,,97.93595123,,,
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,98.59999847,,,,,,,,,,98.59999847,,,,,,,,,,98.59999847,,,,,,,
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,64.2116394,,,,,,,,69.10173035,,,,,,,,,,78.26486206,77.0386734,81.2858963,,,,80.81067657,,,83.34999847
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.36914825,,,,,,,,,,99.55999756,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,84.99401093,,,,,85.63973236,,,,,,,88.84999847
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,80.0110321,,,,,,83.58898926,,,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,87.20523834,88.50743103,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,45.17869949,45.4502182,45.76293945,46.15544128,46.75653076,46.73389816,47.22117996,48.03059006,48.73118973,49.47434998,50.18066025,51.03131866,51.47574997,52.26593018,53.70304108,52.94102097,51.32223129,52.85353088,53.09774017,53.24892044,54.06692123,56.10511017,57.40147018,58.38639832,59.229599,59.71197891,60.52399826,61.6227684,63.00833893,63.6308403,63.94654846,
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,96.70155334,,,,,,,,,,98.14668274,,,,,,,,,,99.12535858,,,,,,,,,,99.44999695
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,58.7439003,,,48.68502045,,,,,,,,,,61.69134903,,,,,
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,99.09999847,,,,,,,,,,,,,,,,,,,,,,,,99.09999847,,,,,,,99.09999847
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,73.73922729,74.53954315,75.15747833,75.67533875,76.18562317,76.72383118,77.24874115,80.17671204,81.7425766,82.11123657,82.48835754,82.83161926,83.25702667,83.9172821,84.29956818,84.33061981,84.34648132,85.46440125,85.81437683,86.20594788,86.7857666,87.14035034,87.64228821,87.81001282,88.314888,88.38742828,88.7665863,88.9834671,88.96295929,89.34327698,89.58325195,
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,69.55632782,70.26055145,70.89138794,71.43280792,71.95883942,72.46405792,72.98461151,75.50198364,76.98468018,77.37935638,77.5520401,77.93657684,78.38108826,79.01519012,79.50872803,79.43769836,79.67156982,80.08302307,80.65590668,81.01213837,81.52977753,81.78588104,82.31726837,82.55223083,83.05555725,83.235672,83.78101349,84.07015228,84.11257935,84.55732727,84.74362946,
IDA total,IDA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,48.33296967,48.75363922,49.65023041,50.51480865,51.34122086,51.92889023,52.58356857,53.36027145,54.70038986,55.45259857,54.89553833,55.67528152,56.38587189,57.07247925,58.24835968,57.94314957,59.34186935,56.94850159,58.75569153,59.24505997,59.78641891,59.9167099,60.84981918,61.63714981,62.42197037,63.31293869,64.77850342,65.62299347,66.18261719,67.14550018,67.42095184,
IDA blend,IDB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,51.7562294,52.64772034,54.28593826,55.99868011,56.79576874,57.57704926,58.44923019,59.2795105,60.26639938,60.89678955,57.86338043,58.79138184,59.47306824,60.0885582,61.30805969,60.70658112,66.53460693,59.77349854,61.00965118,61.94287109,62.39707947,62.47026062,63.87588882,63.73519135,64.59818268,65.02671814,65.72673035,66.5821991,66.03430939,66.48745728,66.76564026,
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,81.51985168,,,,,,,,,,,,,,90.38478851,,91.98226929,,92.19229889,92.58170319,,92.81191254,,,95.11621857,95.21793365,95.37696838,,95.65856171,,95.99900818,
IDA only,IDX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,46.60073853,46.78647995,47.31256866,47.75402832,48.59907913,49.09238815,49.63526154,50.38158035,51.89587021,52.7060318,53.39664841,54.10110855,54.8260994,55.54835892,56.70166016,56.54544067,55.70035934,55.51670074,57.61193848,57.87440872,58.45849991,58.61759186,59.30995941,60.56940079,61.3146019,62.44129944,64.29682922,65.13645172,66.25772095,67.47814941,67.7516098,
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,48.22206879,,,,,,,,,,61.0145607,,,,,62.75447083,,,,,69.3025589,,,,,,,74.37299347,,,
Not classified,INX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
